"","oblast","rok","populace"
"1","Nigérie",1950,0.037859745
"2","Afrika",1950,0.228901723
"3","Evropa",1950,0.549089107
"4","Subsaharská Afrika",1950,0.179679847
"5","Nigérie",1955,0.041122333
"6","Afrika",1955,0.253963199
"7","Evropa",1955,0.576663737
"8","Subsaharská Afrika",1955,0.198234313
"9","Nigérie",1960,0.045211614
"10","Afrika",1960,0.284887148
"11","Evropa",1960,0.605618566
"12","Subsaharská Afrika",1960,0.221190275
"13","Nigérie",1965,0.050238569
"14","Afrika",1965,0.321999242
"15","Evropa",1965,0.635118132
"16","Subsaharská Afrika",1965,0.249198614
"17","Nigérie",1970,0.056131844
"18","Afrika",1970,0.365625902
"19","Evropa",1970,0.657221446
"20","Subsaharská Afrika",1970,0.28274338
"21","Nigérie",1975,0.063565598
"22","Afrika",1975,0.416490405
"23","Evropa",1975,0.677317792
"24","Subsaharská Afrika",1975,0.322877278
"25","Nigérie",1980,0.073698096
"26","Afrika",1980,0.477965129
"27","Evropa",1980,0.693859439
"28","Subsaharská Afrika",1980,0.371057544
"29","Nigérie",1985,0.08390157
"30","Afrika",1985,0.550027726
"31","Evropa",1985,0.707898954
"32","Subsaharská Afrika",1985,0.427049327
"33","Nigérie",1990,0.095617345
"34","Afrika",1990,0.631614304
"35","Evropa",1990,0.721086311
"36","Subsaharská Afrika",1990,0.491497691
"37","Nigérie",1995,0.108424822
"38","Afrika",1995,0.720416386
"39","Evropa",1995,0.72777844
"40","Subsaharská Afrika",1995,0.562978224
"41","Nigérie",2000,0.122876723
"42","Afrika",2000,0.814063149
"43","Evropa",2000,0.726407448
"44","Subsaharská Afrika",2000,0.642172298
"45","Nigérie",2005,0.139611303
"46","Afrika",2005,0.920238945
"47","Evropa",2005,0.72900747
"48","Subsaharská Afrika",2005,0.733321659
"49","Nigérie",2010,0.159424742
"50","Afrika",2010,1.044106862
"51","Evropa",2010,0.735394902
"52","Subsaharská Afrika",2010,0.840390129
"53","Nigérie",2015,0.182201962
"54","Afrika",2015,1.186178282
"55","Evropa",2015,0.73844207
"56","Subsaharská Afrika",2015,0.962286754
"57","Nigérie",2020,0.206830983
"58","Afrika",2020,1.340103338
"59","Evropa",2020,0.739725262
"60","Subsaharská Afrika",2020,1.095658383
"61","Nigérie",2025,0.233557691
"62","Afrika",2025,1.504213342
"63","Evropa",2025,0.738089844
"64","Subsaharská Afrika",2025,1.240321253
"65","Nigérie",2030,0.262599107
"66","Afrika",2030,1.679301149
"67","Evropa",2030,0.73392935
"68","Subsaharská Afrika",2030,1.396853255
"69","Nigérie",2035,0.293965225
"70","Afrika",2035,1.86592162
"71","Evropa",2035,0.728036837
"72","Subsaharská Afrika",2035,1.56505195
"73","Nigérie",2040,0.327405603
"74","Afrika",2040,2.063029912
"75","Evropa",2040,0.721355388
"76","Subsaharská Afrika",2040,1.743672843
"77","Nigérie",2045,0.362395941
"78","Afrika",2045,2.267855869
"79","Evropa",2045,0.714355001
"80","Subsaharská Afrika",2045,1.930496655
"81","Nigérie",2050,0.398507704
"82","Afrika",2050,2.477536324
"83","Evropa",2050,0.706792824
"84","Subsaharská Afrika",2050,2.123232163
"85","Nigérie",2055,0.43549554
"86","Afrika",2055,2.689772979
"87","Evropa",2055,0.698296337
"88","Subsaharská Afrika",2055,2.319938159
"89","Nigérie",2060,0.473123062
"90","Afrika",2060,2.902500356
"91","Evropa",2060,0.689029045
"92","Subsaharská Afrika",2060,2.518615989
"93","Nigérie",2065,0.510994161
"94","Afrika",2065,3.11384088
"95","Evropa",2065,0.679702858
"96","Subsaharská Afrika",2065,2.717267563
"97","Nigérie",2070,0.548863098
"98","Afrika",2070,3.321968377
"99","Evropa",2070,0.671372488
"100","Subsaharská Afrika",2070,2.913953797
"101","Nigérie",2075,0.586277854
"102","Afrika",2075,3.524627535
"103","Evropa",2075,0.664591378
"104","Subsaharská Afrika",2075,3.106395084
"105","Nigérie",2080,0.622731111
"106","Afrika",2080,3.719491949
"107","Evropa",2080,0.659398888
"108","Subsaharská Afrika",2080,3.292150543
"109","Nigérie",2085,0.657740065
"110","Afrika",2085,3.904528067
"111","Evropa",2085,0.655475358
"112","Subsaharská Afrika",2085,3.469178418
"113","Nigérie",2090,0.691183213
"114","Afrika",2090,4.078374265
"115","Evropa",2090,0.652174724
"116","Subsaharská Afrika",2090,3.636140719
"117","Nigérie",2095,0.722635801
"118","Afrika",2095,4.23933797
"119","Evropa",2095,0.648949539
"120","Subsaharská Afrika",2095,3.79158751
"121","Nigérie",2100,0.752247359
"122","Afrika",2100,4.386591069
"123","Evropa",2100,0.645577351
"124","Subsaharská Afrika",2100,3.934828499
